week_of,rank_current_week,title,artist,rank_prior_week,peak_pos,weeks_on_chart,base_artist,expand,key,artist_title
9/29/2012,16,somebody that i used to know,Gotye Featuring Kimbra,15,1,37,gotye,Kimbra,gotye_somebody that i used to know,Gotye Featuring Kimbra-somebody that i used to know
10/6/2012,19,somebody that i used to know,Gotye Featuring Kimbra,16,1,38,gotye,Kimbra,gotye_somebody that i used to know,Gotye Featuring Kimbra-somebody that i used to know
10/13/2012,19,somebody that i used to know,Gotye Featuring Kimbra,19,1,39,gotye,Kimbra,gotye_somebody that i used to know,Gotye Featuring Kimbra-somebody that i used to know
10/20/2012,22,somebody that i used to know,Gotye Featuring Kimbra,19,1,40,gotye,Kimbra,gotye_somebody that i used to know,Gotye Featuring Kimbra-somebody that i used to know
10/27/2012,22,somebody that i used to know,Gotye Featuring Kimbra,22,1,41,gotye,Kimbra,gotye_somebody that i used to know,Gotye Featuring Kimbra-somebody that i used to know
11/3/2012,26,somebody that i used to know,Gotye Featuring Kimbra,22,1,42,gotye,Kimbra,gotye_somebody that i used to know,Gotye Featuring Kimbra-somebody that i used to know
11/10/2012,26,somebody that i used to know,Gotye Featuring Kimbra,26,1,43,gotye,Kimbra,gotye_somebody that i used to know,Gotye Featuring Kimbra-somebody that i used to know
11/17/2012,32,somebody that i used to know,Gotye Featuring Kimbra,26,1,44,gotye,Kimbra,gotye_somebody that i used to know,Gotye Featuring Kimbra-somebody that i used to know
11/24/2012,29,somebody that i used to know,Gotye Featuring Kimbra,32,1,45,gotye,Kimbra,gotye_somebody that i used to know,Gotye Featuring Kimbra-somebody that i used to know
12/1/2012,36,somebody that i used to know,Gotye Featuring Kimbra,29,1,46,gotye,Kimbra,gotye_somebody that i used to know,Gotye Featuring Kimbra-somebody that i used to know
12/8/2012,43,somebody that i used to know,Gotye Featuring Kimbra,36,1,47,gotye,Kimbra,gotye_somebody that i used to know,Gotye Featuring Kimbra-somebody that i used to know
12/15/2012,47,somebody that i used to know,Gotye Featuring Kimbra,43,1,48,gotye,Kimbra,gotye_somebody that i used to know,Gotye Featuring Kimbra-somebody that i used to know
12/22/2012,46,somebody that i used to know,Gotye Featuring Kimbra,47,1,49,gotye,Kimbra,gotye_somebody that i used to know,Gotye Featuring Kimbra-somebody that i used to know
12/29/2012,48,somebody that i used to know,Gotye Featuring Kimbra,46,1,50,gotye,Kimbra,gotye_somebody that i used to know,Gotye Featuring Kimbra-somebody that i used to know
1/5/2013,49,somebody that i used to know,Gotye Featuring Kimbra,48,1,51,gotye,Kimbra,gotye_somebody that i used to know,Gotye Featuring Kimbra-somebody that i used to know
1/12/2013,48,somebody that i used to know,Gotye Featuring Kimbra,49,1,52,gotye,Kimbra,gotye_somebody that i used to know,Gotye Featuring Kimbra-somebody that i used to know
1/19/2013,43,somebody that i used to know,Gotye Featuring Kimbra,48,1,53,gotye,Kimbra,gotye_somebody that i used to know,Gotye Featuring Kimbra-somebody that i used to know
1/26/2013,42,somebody that i used to know,Gotye Featuring Kimbra,43,1,54,gotye,Kimbra,gotye_somebody that i used to know,Gotye Featuring Kimbra-somebody that i used to know
2/2/2013,45,somebody that i used to know,Gotye Featuring Kimbra,42,1,55,gotye,Kimbra,gotye_somebody that i used to know,Gotye Featuring Kimbra-somebody that i used to know
2/9/2013,44,somebody that i used to know,Gotye Featuring Kimbra,45,1,56,gotye,Kimbra,gotye_somebody that i used to know,Gotye Featuring Kimbra-somebody that i used to know
2/16/2013,47,somebody that i used to know,Gotye Featuring Kimbra,44,1,57,gotye,Kimbra,gotye_somebody that i used to know,Gotye Featuring Kimbra-somebody that i used to know
2/23/2013,42,somebody that i used to know,Gotye Featuring Kimbra,47,1,58,gotye,Kimbra,gotye_somebody that i used to know,Gotye Featuring Kimbra-somebody that i used to know
3/2/2013,36,somebody that i used to know,Gotye Featuring Kimbra,42,1,59,gotye,Kimbra,gotye_somebody that i used to know,Gotye Featuring Kimbra-somebody that i used to know
9/21/2013,97,all of me,John Legend,-,97,1,john legend,,john legend_all of me,John Legend-all of me
10/5/2013,17,dark horse,Katy Perry Featuring Juicy J,-,17,1,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
10/12/2013,39,dark horse,Katy Perry Featuring Juicy J,17,17,2,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
10/19/2013,38,dark horse,Katy Perry Featuring Juicy J,39,17,3,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
10/26/2013,60,dark horse,Katy Perry Featuring Juicy J,38,17,4,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
10/26/2013,89,all of me,John Legend,-,89,2,john legend,,john legend_all of me,John Legend-all of me
11/2/2013,57,dark horse,Katy Perry Featuring Juicy J,60,17,5,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
11/2/2013,100,all of me,John Legend,89,89,3,john legend,,john legend_all of me,John Legend-all of me
11/9/2013,28,dark horse,Katy Perry Featuring Juicy J,57,17,6,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
11/16/2013,43,dark horse,Katy Perry Featuring Juicy J,28,17,7,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
11/16/2013,97,all of me,John Legend,-,89,4,john legend,,john legend_all of me,John Legend-all of me
11/23/2013,50,dark horse,Katy Perry Featuring Juicy J,43,17,8,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
11/23/2013,97,all of me,John Legend,97,89,5,john legend,,john legend_all of me,John Legend-all of me
11/30/2013,47,dark horse,Katy Perry Featuring Juicy J,50,17,9,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
11/30/2013,66,all of me,John Legend,97,66,6,john legend,,john legend_all of me,John Legend-all of me
12/7/2013,42,dark horse,Katy Perry Featuring Juicy J,47,17,10,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
12/7/2013,68,all of me,John Legend,66,66,7,john legend,,john legend_all of me,John Legend-all of me
12/14/2013,37,dark horse,Katy Perry Featuring Juicy J,42,17,11,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
12/14/2013,72,all of me,John Legend,68,66,8,john legend,,john legend_all of me,John Legend-all of me
12/21/2013,36,dark horse,Katy Perry Featuring Juicy J,37,17,12,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
12/21/2013,56,all of me,John Legend,72,56,9,john legend,,john legend_all of me,John Legend-all of me
12/28/2013,22,dark horse,Katy Perry Featuring Juicy J,36,17,13,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
12/28/2013,52,all of me,John Legend,56,52,10,john legend,,john legend_all of me,John Legend-all of me
1/4/2014,14,dark horse,Katy Perry Featuring Juicy J,22,14,14,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
1/4/2014,55,all of me,John Legend,52,52,11,john legend,,john legend_all of me,John Legend-all of me
1/11/2014,11,dark horse,Katy Perry Featuring Juicy J,14,11,15,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
1/11/2014,68,all of me,John Legend,55,52,12,john legend,,john legend_all of me,John Legend-all of me
1/18/2014,6,dark horse,Katy Perry Featuring Juicy J,11,6,16,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
1/18/2014,60,all of me,John Legend,68,52,13,john legend,,john legend_all of me,John Legend-all of me
1/25/2014,4,dark horse,Katy Perry Featuring Juicy J,6,4,17,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
1/25/2014,54,all of me,John Legend,60,52,14,john legend,,john legend_all of me,John Legend-all of me
2/1/2014,2,dark horse,Katy Perry Featuring Juicy J,4,2,18,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
2/1/2014,49,all of me,John Legend,54,49,15,john legend,,john legend_all of me,John Legend-all of me
2/8/2014,1,dark horse,Katy Perry Featuring Juicy J,2,1,19,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
2/8/2014,27,all of me,John Legend,49,27,16,john legend,,john legend_all of me,John Legend-all of me
2/15/2014,1,dark horse,Katy Perry Featuring Juicy J,1,1,20,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
2/15/2014,17,all of me,John Legend,27,17,17,john legend,,john legend_all of me,John Legend-all of me
2/22/2014,1,dark horse,Katy Perry Featuring Juicy J,1,1,21,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
2/22/2014,15,all of me,John Legend,17,15,18,john legend,,john legend_all of me,John Legend-all of me
3/1/2014,1,dark horse,Katy Perry Featuring Juicy J,1,1,22,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
3/1/2014,11,all of me,John Legend,15,11,19,john legend,,john legend_all of me,John Legend-all of me
3/8/2014,2,dark horse,Katy Perry Featuring Juicy J,1,1,23,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
3/8/2014,4,all of me,John Legend,11,4,20,john legend,,john legend_all of me,John Legend-all of me
3/15/2014,2,dark horse,Katy Perry Featuring Juicy J,2,1,24,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
3/15/2014,4,all of me,John Legend,4,4,21,john legend,,john legend_all of me,John Legend-all of me
3/22/2014,2,dark horse,Katy Perry Featuring Juicy J,2,1,25,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
3/22/2014,3,all of me,John Legend,4,3,22,john legend,,john legend_all of me,John Legend-all of me
3/29/2014,2,dark horse,Katy Perry Featuring Juicy J,2,1,26,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
3/29/2014,3,all of me,John Legend,3,3,23,john legend,,john legend_all of me,John Legend-all of me
4/5/2014,2,all of me,John Legend,3,2,24,john legend,,john legend_all of me,John Legend-all of me
4/5/2014,3,dark horse,Katy Perry Featuring Juicy J,2,1,27,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
4/12/2014,2,all of me,John Legend,2,2,25,john legend,,john legend_all of me,John Legend-all of me
4/12/2014,3,dark horse,Katy Perry Featuring Juicy J,3,1,28,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
4/19/2014,2,all of me,John Legend,2,2,26,john legend,,john legend_all of me,John Legend-all of me
4/19/2014,3,dark horse,Katy Perry Featuring Juicy J,3,1,29,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
4/26/2014,2,all of me,John Legend,2,2,27,john legend,,john legend_all of me,John Legend-all of me
4/26/2014,3,dark horse,Katy Perry Featuring Juicy J,3,1,30,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
5/3/2014,2,all of me,John Legend,2,2,28,john legend,,john legend_all of me,John Legend-all of me
5/3/2014,4,dark horse,Katy Perry Featuring Juicy J,3,1,31,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
5/10/2014,2,all of me,John Legend,2,2,29,john legend,,john legend_all of me,John Legend-all of me
5/10/2014,3,dark horse,Katy Perry Featuring Juicy J,4,1,32,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
5/17/2014,1,all of me,John Legend,2,1,30,john legend,,john legend_all of me,John Legend-all of me
5/17/2014,5,dark horse,Katy Perry Featuring Juicy J,3,1,33,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
5/24/2014,1,all of me,John Legend,1,1,31,john legend,,john legend_all of me,John Legend-all of me
5/24/2014,5,dark horse,Katy Perry Featuring Juicy J,5,1,34,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
5/31/2014,1,all of me,John Legend,1,1,32,john legend,,john legend_all of me,John Legend-all of me
5/31/2014,6,dark horse,Katy Perry Featuring Juicy J,5,1,35,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
6/7/2014,3,all of me,John Legend,1,1,33,john legend,,john legend_all of me,John Legend-all of me
6/7/2014,6,dark horse,Katy Perry Featuring Juicy J,6,1,36,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
6/14/2014,3,all of me,John Legend,3,1,34,john legend,,john legend_all of me,John Legend-all of me
6/14/2014,7,dark horse,Katy Perry Featuring Juicy J,6,1,37,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
6/21/2014,3,all of me,John Legend,3,1,35,john legend,,john legend_all of me,John Legend-all of me
6/21/2014,11,dark horse,Katy Perry Featuring Juicy J,7,1,38,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
6/28/2014,4,all of me,John Legend,3,1,36,john legend,,john legend_all of me,John Legend-all of me
6/28/2014,11,dark horse,Katy Perry Featuring Juicy J,11,1,39,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
7/5/2014,7,all of me,John Legend,4,1,37,john legend,,john legend_all of me,John Legend-all of me
7/5/2014,11,dark horse,Katy Perry Featuring Juicy J,11,1,40,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
7/12/2014,7,all of me,John Legend,7,1,38,john legend,,john legend_all of me,John Legend-all of me
7/12/2014,12,dark horse,Katy Perry Featuring Juicy J,11,1,41,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
7/19/2014,8,all of me,John Legend,7,1,39,john legend,,john legend_all of me,John Legend-all of me
7/19/2014,13,dark horse,Katy Perry Featuring Juicy J,12,1,42,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
7/26/2014,7,all of me,John Legend,8,1,40,john legend,,john legend_all of me,John Legend-all of me
7/26/2014,15,dark horse,Katy Perry Featuring Juicy J,13,1,43,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
8/2/2014,6,all of me,John Legend,7,1,41,john legend,,john legend_all of me,John Legend-all of me
8/2/2014,16,dark horse,Katy Perry Featuring Juicy J,15,1,44,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
8/9/2014,8,all of me,John Legend,6,1,42,john legend,,john legend_all of me,John Legend-all of me
8/9/2014,20,dark horse,Katy Perry Featuring Juicy J,16,1,45,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
8/16/2014,12,all of me,John Legend,8,1,43,john legend,,john legend_all of me,John Legend-all of me
8/16/2014,23,dark horse,Katy Perry Featuring Juicy J,20,1,46,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
8/23/2014,14,all of me,John Legend,12,1,44,john legend,,john legend_all of me,John Legend-all of me
8/23/2014,16,dark horse,Katy Perry Featuring Juicy J,23,1,47,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
8/30/2014,16,all of me,John Legend,14,1,45,john legend,,john legend_all of me,John Legend-all of me
8/30/2014,23,dark horse,Katy Perry Featuring Juicy J,16,1,48,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
9/6/2014,20,all of me,John Legend,16,1,46,john legend,,john legend_all of me,John Legend-all of me
9/6/2014,30,dark horse,Katy Perry Featuring Juicy J,23,1,49,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
9/13/2014,19,all of me,John Legend,20,1,47,john legend,,john legend_all of me,John Legend-all of me
9/13/2014,32,dark horse,Katy Perry Featuring Juicy J,30,1,50,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
9/20/2014,22,all of me,John Legend,19,1,48,john legend,,john legend_all of me,John Legend-all of me
9/20/2014,32,dark horse,Katy Perry Featuring Juicy J,32,1,51,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
9/27/2014,23,all of me,John Legend,22,1,49,john legend,,john legend_all of me,John Legend-all of me
9/27/2014,38,dark horse,Katy Perry Featuring Juicy J,32,1,52,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
10/4/2014,24,all of me,John Legend,23,1,50,john legend,,john legend_all of me,John Legend-all of me
10/4/2014,43,dark horse,Katy Perry Featuring Juicy J,38,1,53,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
10/11/2014,26,all of me,John Legend,24,1,51,john legend,,john legend_all of me,John Legend-all of me
10/11/2014,46,dark horse,Katy Perry Featuring Juicy J,43,1,54,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
10/18/2014,27,all of me,John Legend,26,1,52,john legend,,john legend_all of me,John Legend-all of me
10/18/2014,47,dark horse,Katy Perry Featuring Juicy J,46,1,55,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
10/25/2014,24,all of me,John Legend,27,1,53,john legend,,john legend_all of me,John Legend-all of me
10/25/2014,43,dark horse,Katy Perry Featuring Juicy J,47,1,56,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
11/1/2014,28,all of me,John Legend,24,1,54,john legend,,john legend_all of me,John Legend-all of me
11/1/2014,49,dark horse,Katy Perry Featuring Juicy J,43,1,57,katy perry,Juicy J,katy perry_dark horse,Katy Perry Featuring Juicy J-dark horse
11/8/2014,32,all of me,John Legend,28,1,55,john legend,,john legend_all of me,John Legend-all of me
11/15/2014,39,all of me,John Legend,32,1,56,john legend,,john legend_all of me,John Legend-all of me
11/22/2014,34,all of me,John Legend,39,1,57,john legend,,john legend_all of me,John Legend-all of me
11/29/2014,36,all of me,John Legend,34,1,58,john legend,,john legend_all of me,John Legend-all of me
11/29/2014,65,uptown funk,Mark Ronson Featuring Bruno Mars,-,65,1,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
12/6/2014,18,uptown funk,Mark Ronson Featuring Bruno Mars,65,18,2,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
12/6/2014,43,all of me,John Legend,36,1,59,john legend,,john legend_all of me,John Legend-all of me
12/13/2014,8,uptown funk,Mark Ronson Featuring Bruno Mars,18,8,3,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
12/20/2014,5,uptown funk,Mark Ronson Featuring Bruno Mars,8,5,4,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
12/27/2014,3,uptown funk,Mark Ronson Featuring Bruno Mars,5,3,5,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
1/3/2015,3,uptown funk,Mark Ronson Featuring Bruno Mars,3,3,6,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
1/10/2015,2,uptown funk,Mark Ronson Featuring Bruno Mars,3,2,7,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
1/17/2015,1,uptown funk,Mark Ronson Featuring Bruno Mars,2,1,8,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
1/24/2015,1,uptown funk,Mark Ronson Featuring Bruno Mars,1,1,9,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
1/31/2015,1,uptown funk,Mark Ronson Featuring Bruno Mars,1,1,10,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
2/7/2015,1,uptown funk,Mark Ronson Featuring Bruno Mars,1,1,11,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
2/14/2015,1,uptown funk,Mark Ronson Featuring Bruno Mars,1,1,12,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
2/21/2015,1,uptown funk,Mark Ronson Featuring Bruno Mars,1,1,13,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
2/28/2015,1,uptown funk,Mark Ronson Featuring Bruno Mars,1,1,14,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
3/7/2015,1,uptown funk,Mark Ronson Featuring Bruno Mars,1,1,15,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
3/14/2015,1,uptown funk,Mark Ronson Featuring Bruno Mars,1,1,16,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
3/21/2015,1,uptown funk,Mark Ronson Featuring Bruno Mars,1,1,17,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
3/28/2015,1,uptown funk,Mark Ronson Featuring Bruno Mars,1,1,18,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
3/28/2015,100,see you again,Wiz Khalifa Featuring Charlie Puth,-,100,1,wiz khalifa,Charlie Puth,wiz khalifa_see you again,Wiz Khalifa Featuring Charlie Puth-see you again
4/4/2015,1,uptown funk,Mark Ronson Featuring Bruno Mars,1,1,19,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
4/4/2015,82,see you again,Wiz Khalifa Featuring Charlie Puth,100,82,2,wiz khalifa,Charlie Puth,wiz khalifa_see you again,Wiz Khalifa Featuring Charlie Puth-see you again
4/11/2015,1,uptown funk,Mark Ronson Featuring Bruno Mars,1,1,20,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
4/11/2015,84,see you again,Wiz Khalifa Featuring Charlie Puth,82,82,3,wiz khalifa,Charlie Puth,wiz khalifa_see you again,Wiz Khalifa Featuring Charlie Puth-see you again
4/18/2015,1,uptown funk,Mark Ronson Featuring Bruno Mars,1,1,21,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
4/18/2015,10,see you again,Wiz Khalifa Featuring Charlie Puth,84,10,4,wiz khalifa,Charlie Puth,wiz khalifa_see you again,Wiz Khalifa Featuring Charlie Puth-see you again
4/25/2015,1,see you again,Wiz Khalifa Featuring Charlie Puth,10,1,5,wiz khalifa,Charlie Puth,wiz khalifa_see you again,Wiz Khalifa Featuring Charlie Puth-see you again
4/25/2015,2,uptown funk,Mark Ronson Featuring Bruno Mars,1,1,22,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
5/2/2015,1,see you again,Wiz Khalifa Featuring Charlie Puth,1,1,6,wiz khalifa,Charlie Puth,wiz khalifa_see you again,Wiz Khalifa Featuring Charlie Puth-see you again
5/2/2015,2,uptown funk,Mark Ronson Featuring Bruno Mars,2,1,23,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
5/9/2015,1,see you again,Wiz Khalifa Featuring Charlie Puth,1,1,7,wiz khalifa,Charlie Puth,wiz khalifa_see you again,Wiz Khalifa Featuring Charlie Puth-see you again
5/9/2015,2,uptown funk,Mark Ronson Featuring Bruno Mars,2,1,24,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
5/16/2015,1,see you again,Wiz Khalifa Featuring Charlie Puth,1,1,8,wiz khalifa,Charlie Puth,wiz khalifa_see you again,Wiz Khalifa Featuring Charlie Puth-see you again
5/16/2015,3,uptown funk,Mark Ronson Featuring Bruno Mars,2,1,25,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
5/23/2015,1,see you again,Wiz Khalifa Featuring Charlie Puth,1,1,9,wiz khalifa,Charlie Puth,wiz khalifa_see you again,Wiz Khalifa Featuring Charlie Puth-see you again
5/23/2015,4,uptown funk,Mark Ronson Featuring Bruno Mars,3,1,26,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
5/30/2015,1,see you again,Wiz Khalifa Featuring Charlie Puth,1,1,10,wiz khalifa,Charlie Puth,wiz khalifa_see you again,Wiz Khalifa Featuring Charlie Puth-see you again
5/30/2015,5,uptown funk,Mark Ronson Featuring Bruno Mars,4,1,27,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
6/6/2015,2,see you again,Wiz Khalifa Featuring Charlie Puth,1,1,11,wiz khalifa,Charlie Puth,wiz khalifa_see you again,Wiz Khalifa Featuring Charlie Puth-see you again
6/6/2015,6,uptown funk,Mark Ronson Featuring Bruno Mars,5,1,28,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
6/13/2015,1,see you again,Wiz Khalifa Featuring Charlie Puth,2,1,12,wiz khalifa,Charlie Puth,wiz khalifa_see you again,Wiz Khalifa Featuring Charlie Puth-see you again
6/13/2015,5,uptown funk,Mark Ronson Featuring Bruno Mars,6,1,29,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
6/13/2015,20,the hills,The Weeknd,-,20,1,the weeknd,,the weeknd_the hills,The Weeknd-the hills
6/20/2015,1,see you again,Wiz Khalifa Featuring Charlie Puth,1,1,13,wiz khalifa,Charlie Puth,wiz khalifa_see you again,Wiz Khalifa Featuring Charlie Puth-see you again
6/20/2015,6,uptown funk,Mark Ronson Featuring Bruno Mars,5,1,30,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
6/20/2015,21,the hills,The Weeknd,20,20,2,the weeknd,,the weeknd_the hills,The Weeknd-the hills
6/27/2015,1,see you again,Wiz Khalifa Featuring Charlie Puth,1,1,14,wiz khalifa,Charlie Puth,wiz khalifa_see you again,Wiz Khalifa Featuring Charlie Puth-see you again
6/27/2015,6,uptown funk,Mark Ronson Featuring Bruno Mars,6,1,31,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
6/27/2015,23,the hills,The Weeknd,21,20,3,the weeknd,,the weeknd_the hills,The Weeknd-the hills
6/27/2015,24,can't feel my face,The Weeknd,-,24,1,the weeknd,,the weeknd_can't feel my face,The Weeknd-can't feel my face
7/4/2015,1,see you again,Wiz Khalifa Featuring Charlie Puth,1,1,15,wiz khalifa,Charlie Puth,wiz khalifa_see you again,Wiz Khalifa Featuring Charlie Puth-see you again
7/4/2015,6,uptown funk,Mark Ronson Featuring Bruno Mars,6,1,32,mark ronson,Bruno Mars,mark ronson_uptown funk,Mark Ronson Featuring Bruno Mars-uptown funk
7/4/2015,12,can't feel my face,The Weeknd,24,12,2,the weeknd,,the weeknd_can't feel my face,The Weeknd-can't feel my face
7/4/2015,22,the hills,The Weeknd,23,20,4,the weeknd,,the weeknd_the hills,The Weeknd-the hills
7/11/2015,1,see you again,Wiz Khalifa Featuring Charlie Puth,1,1,16,wiz khalifa,Charlie Puth,wiz khalifa_see you again,Wiz Khalifa Featuring Charlie Puth-see you again
7/11/2015,6,can't feel my face,The Weeknd,12,6,3,the weeknd,,the weeknd_can't feel my face,The Weeknd-can't feel my face
